#TYPE Selected.System.ServiceProcess.ServiceController
"Status","Name"
"Running","AdobeARMservice"
"Running","AESMService"
"Running","Appinfo"
"Running","AudioEndpointBuilder"
"Running","Audiosrv"
"Running","BDESVC"
"Running","BFE"
"Running","BITS"
"Running","BluetoothUserService_39770d3"
"Running","BrokerInfrastructure"
"Running","BTAGService"
"Running","BthAvctpSvc"
"Running","bthserv"
"Running","camsvc"
"Running","cbdhsvc_39770d3"
"Running","CDPSvc"
"Running","CDPUserSvc_39770d3"
"Running","ClickToRunSvc"
"Running","CoreMessagingRegistrar"
"Running","cphs"
"Running","cplspcon"
"Running","CryptSvc"
"Running","DcomLaunch"
"Running","DeviceAssociationService"
"Running","Dhcp"
"Running","DiagTrack"
"Running","DisplayEnhancementService"
"Running","Dnscache"
"Running","Dolby DAX2 API Service"
"Running","DolbyDAXAPI"
"Running","DoSvc"
"Running","dot3svc"
"Running","DPS"
"Running","DsSvc"
"Running","DusmSvc"
"Running","Eaphost"
"Running","esifsvc"
"Running","ETDService"
"Running","EventLog"
"Running","EventSystem"
"Running","EvtEng"
"Running","FMAPOService"
"Running","FontCache"
"Running","hidserv"
"Running","IBMPMSVC"
"Running","igfxCUIService2.0.0.0"
"Running","InstallService"
"Running","iphlpsvc"
"Running","KeyIso"
"Running","LanmanServer"
"Running","LanmanWorkstation"
"Running","Lenovo Instant On"
"Running","lfsvc"
"Running","LicenseManager"
"Running","LITSSVC"
"Running","lmhosts"
"Running","LSM"
"Running","mpssvc"
"Running","NcbService"
"Running","Netlogon"
"Running","netprofm"
"Running","NlaSvc"
"Running","nsi"
"Running","OneSyncSvc_39770d3"
"Running","PcaSvc"
"Running","PlugPlay"
"Running","PolicyAgent"
"Running","Power"
"Running","ProfSvc"
"Running","RasMan"
"Running","RegSrvc"
"Running","RmSvc"
"Running","RpcEptMapper"
"Running","RpcSs"
"Running","RtkAudioUniversalService"
"Running","SamSs"
"Running","Schedule"
"Running","SecurityHealthService"
"Running","SEMgrSvc"
"Running","SENS"
"Running","SepMasterService"
"Running","sepWscSvc"
"Running","SgrmBroker"
"Running","ShellHWDetection"
"Running","SISIDSService"
"Running","SISIPSService"
"Running","SISIPSUtil"
"Running","Spooler"
"Running","SSDPSRV"
"Running","SstpSvc"
"Running","StateRepository"
"Running","StorSvc"
"Running","SUMMIT Asset Management"
"Running","SummitAgentMonitorSvc"
"Running","SysMain"
"Running","SystemEventsBroker"
"Running","TabletInputService"
"Running","Themes"
"Running","TimeBrokerSvc"
"Running","TokenBroker"
"Running","TrkWks"
"Running","UserManager"
"Running","UsoSvc"
"Running","VaultSvc"
"Running","vpnagent"
"Running","W32Time"
"Running","Wcmsvc"
"Running","WdiServiceHost"
"Running","WdiSystemHost"
"Running","WinHttpAutoProxySvc"
"Running","Winmgmt"
"Running","WlanSvc"
"Running","WpnService"
"Running","WpnUserService_39770d3"
"Running","wscsvc"
"Running","WSearch"
"Running","ZeroConfigService"
